samples,score,label
HG03714,9.5,0
HG03716,13,1
HG03717,13.5,1
HG03718,11,1
HG03720,8.5,0
HG03722,13,1
HG03727,8,0
HG03729,9.5,0
HG03730,12,1
HG03731,6,0
HG03733,13,1
HG03736,11.5,1
HG03738,13,1
HG03740,9,0
HG03741,8.5,0
HG03742,7.5,0
HG03743,9,0
HG03744,12,1
HG03745,14.5,1
HG03746,5.5,0
HG03750,10.5,1
HG03752,9,0
HG03753,5.5,0
HG03754,11,1
HG03755,7,0
HG03756,8.5,0
HG03757,7.5,0
HG03760,5,0
HG03762,9,0
HG03765,8,0
HG03767,6,0
HG03770,9.5,0
HG03771,9.5,0
HG03772,10,0
HG03773,12,1
HG03774,7.5,0
HG03775,15.5,1
HG03777,5.5,0
HG03778,10,0
HG03779,12,1
HG03780,15,1
HG03781,11.5,1
HG03782,9.5,0
HG03784,11,1
HG03785,9,0
HG03786,10,0
HG03787,15,1
HG03788,15.5,1
HG03789,5,0
HG03790,12.5,1
HG03792,6,0
HG03793,15,1
HG03796,7.5,0
HG03800,12.5,1
HG03802,9.5,0
HG03803,7.5,0
HG03805,11.5,1
HG03808,7.5,0
HG03809,8,0
HG03812,11,1
HG03814,15,1
HG03815,14.5,1
HG03817,10.5,1
HG03821,12,1
HG03823,10,0
HG03824,4,0
HG03826,13,1
HG03829,12,1
HG03830,7.5,0
HG03832,9,0
HG03833,14.5,1
HG03836,9,0
HG03837,7.5,0
HG03838,7.5,0
HG03844,10.5,1
HG03846,7.5,0
HG03848,6,0
HG03849,10.5,1
HG03850,10.5,1
HG03851,14.5,1
HG03854,9,0
HG03856,6,0
HG03857,8.5,0
HG03858,12,1
HG03861,12,1
HG03862,9,0
HG03863,6.5,0
HG03864,15.5,1
HG03866,11,1
HG03867,12.5,1
HG03868,6.5,0
HG03869,11,1
HG03870,9,0
HG03871,6,0
HG03872,8,0
HG03873,9,0
HG03874,8,0
HG03875,12,1
HG03882,12,1
HG03884,11.5,1
HG03885,9.5,0
HG03886,15,1
HG03887,14.5,1
HG03888,6,0
HG03890,9,0
HG03894,13,1
HG03895,9,0
HG03896,8,0
HG03897,13.5,1
HG03898,8,0
HG03899,6,0
HG03900,8,0
HG03902,7.5,0
HG03905,7.5,0
HG03907,13,1
HG03908,14.5,1
HG03910,5,0
HG03911,6,0
HG03913,10.5,1
HG03914,10.5,1
HG03916,10.5,1
HG03917,9.5,0
HG03919,11.5,1
HG03920,6,0
HG03922,12,1
HG03925,11.5,1
HG03926,17.5,1
HG03928,6.5,0
HG03931,8.5,0
HG03934,12,1
HG03937,19,1
HG03940,13,1
HG03941,13,1
HG03943,6,0
HG03944,10,0
HG03945,6,0
HG03947,5.5,0
HG03949,9,0
HG03950,11,1
HG03951,12.5,1
HG03953,7,0
HG03955,9,0
HG03960,16.5,1
HG03963,14.5,1
HG03965,7.5,0
HG03967,10,0
HG03968,17.5,1
HG03969,12,1
HG03971,9,0
HG03973,13,1
HG03974,9,0
HG03976,13,1
HG03977,9,0
HG03978,7.5,0
HG03985,5.5,0
HG03986,7.5,0
HG03989,12,1
HG03990,15,1
HG03991,12,1
HG03995,15,1
HG03998,10.5,1
HG03999,10.5,1
HG04001,7.5,0
HG04002,12,1
HG04003,9,0
HG04006,15,1
HG04014,14.5,1
HG04015,10.5,1
HG04017,10.5,1
HG04018,8,0
HG04019,6,0
HG04020,11.5,1
HG04022,9.5,0
HG04023,10.5,1
HG04025,11.5,1
HG04026,7.5,0
HG04029,11.5,1
HG04033,12,1
HG04035,10.5,1
HG04038,12,1
HG04039,7.5,0
HG04042,12,1
HG04047,6,0
HG04054,7.5,0
HG04056,6,0
HG04059,4,0
HG04060,4.5,0
HG04061,6,0
HG04062,9,0
HG04063,12,1
HG04070,10,0
HG04075,7.5,0
HG04076,6,0
HG04080,6.5,0
HG04090,9.5,0
HG04093,13.5,1
HG04094,8.5,0
HG04096,14.5,1
HG04098,13,1
HG04099,7.5,0
HG04100,4,0
HG04106,9,0
HG04107,11,1
HG04118,6.5,0
HG04131,11,1
HG04134,7.5,0
HG04140,15.5,1
HG04141,11.5,1
HG04144,7.5,0
HG04146,11,1
HG04152,8,0
HG04153,7.5,0
HG04155,7.5,0
HG04156,12.5,1
HG04158,9,0
HG04159,4.5,0
HG04161,12.5,1
HG04162,13,1
HG04164,21.5,1
HG04171,6,0
HG04173,10.5,1
HG04176,10.5,1
HG04177,19,1
HG04180,9,0
HG04182,15,1
HG04183,9,0
HG04185,15,1
HG04186,7.5,0
HG04188,11.5,1
HG04189,7,0
HG04194,13,1
HG04195,10.5,1
HG04198,9,0
HG04200,13,1
HG04202,10,0
HG04206,12,1
HG04209,7.5,0
HG04210,15,1
HG04211,6,0
HG04212,7.5,0
HG04214,6,0
HG04216,10.5,1
HG04219,9,0
HG04222,12,1
HG04225,11,1
HG04227,12,1
HG04229,9,0
HG04235,9,0
HG04238,15,1
HG04239,6,0
NA06984,15.5,1
NA06985,11.5,1
NA06986,8,0
NA06989,15,1
NA06994,9,0
NA07000,12.5,1
NA07037,6,0
NA07048,12.5,1
NA07051,15.5,1
NA07056,9.5,0
NA07347,6.5,0
NA07357,17,1
NA10847,10.5,1
NA10851,15,1
NA11829,10.5,1
NA11830,13.5,1
NA11831,7,0
NA11832,10.5,1
NA11840,7.5,0
NA11843,7.5,0
NA11881,8,0
NA11892,13,1
NA11893,6,0
NA11894,13.5,1
NA11918,10.5,1
NA11919,10.5,1
NA11920,12.5,1
NA11930,10.5,1
NA11931,7,0
NA11932,18,1
NA11933,12.5,1
NA11992,7.5,0
NA11994,15,1
NA11995,15.5,1
NA12003,12.5,1
NA12004,12,1
NA12005,12,1
NA12006,9,0
NA12043,12.5,1
NA12044,15,1
NA12045,15.5,1
NA12046,8,0
NA12058,6.5,0
NA12144,11.5,1
NA12154,11,1
NA12155,8.5,0
NA12156,9,0
NA12234,9,0
NA12249,11,1
NA12272,15,1
NA12273,11,1
NA12275,9,0
NA12282,7,0
NA12283,12,1
NA12286,11,1
NA12287,11.5,1
NA12340,8,0
NA12341,10,0
NA12342,5.5,0
NA12347,10.5,1
NA12348,10,0
NA12383,17.5,1
NA12399,7,0
NA12400,12.5,1
NA12413,15,1
NA12414,9.5,0
NA12489,12,1
NA12546,10.5,1
NA12716,3.5,0
NA12717,12.5,1
NA12718,13,1
NA12748,15,1
NA12749,10.5,1
NA12750,15,1
NA12751,11,1
NA12760,11.5,1
NA12761,9,0
NA12762,12.5,1
NA12763,8.5,0
NA12775,12.5,1
NA12776,12.5,1
NA12777,15,1
NA12778,12,1
NA12812,9,0
NA12813,6,0
NA12814,7.5,0
NA12815,17,1
NA12827,12.5,1
NA12828,15,1
NA12829,12,1
NA12830,11,1
NA12842,12,1
NA12843,17.5,1
NA12872,5.5,0
NA12873,4.5,0
NA12874,7,0
NA12878,14.5,1
NA12889,8.5,0
NA12890,11.5,1
NA18486,10.5,1
NA18488,6,0
NA18489,5.5,0
NA18498,8,0
NA18499,7.5,0
NA18501,9,0
NA18502,10.5,1
NA18504,5.5,0
NA18505,6.5,0
NA18507,6,0
NA18508,7.5,0
NA18510,7.5,0
NA18511,14.5,1
NA18516,4.5,0
NA18517,7,0
NA18519,10.5,1
NA18520,5.5,0
NA18522,9,0
NA18523,9.5,0
NA18525,9.5,0
NA18526,14.5,1
NA18528,7.5,0
NA18530,6.5,0
NA18531,10.5,1
NA18532,6,0
NA18533,6,0
NA18534,5,0
NA18535,10.5,1
NA18536,6.5,0
NA18537,6.5,0
NA18538,8,0
NA18539,5.5,0
NA18541,7.5,0
NA18542,6,0
NA18543,6,0
NA18544,10.5,1
NA18545,6,0
NA18546,5.5,0
NA18547,7.5,0
NA18548,11.5,1
NA18549,13,1
NA18550,10.5,1
NA18552,14.5,1
NA18553,11,1
NA18555,11,1
NA18557,6.5,0
NA18558,10.5,1
NA18559,11.5,1
NA18560,11,1
NA18561,7.5,0
NA18562,11.5,1
NA18563,7.5,0
NA18564,7.5,0
NA18565,18.5,1
NA18566,10,0
NA18567,11,1
NA18570,7,0
NA18571,7.5,0
NA18572,7.5,0
NA18573,9,0
NA18574,8,0
NA18577,6,0
NA18579,6.5,0
NA18582,9,0
NA18591,12,1
NA18592,11.5,1
NA18593,12.5,1
NA18595,8,0
NA18596,12,1
NA18597,8,0
NA18599,6,0
NA18602,6,0
NA18603,10.5,1
NA18605,6,0
NA18606,7.5,0
NA18608,4.5,0
NA18609,10,0
NA18610,6,0
NA18611,8.5,0
NA18612,6,0
NA18613,4,0
NA18614,7.5,0
NA18615,6,0
NA18616,4,0
NA18617,9,0
NA18618,10.5,1
NA18619,13,1
NA18620,10,0
NA18621,10.5,1
NA18622,12.5,1
NA18623,7.5,0
NA18624,4,0
NA18625,12,1
NA18626,6,0
NA18627,8,0
NA18628,6.5,0
NA18629,10.5,1
NA18630,12,1
NA18631,6,0
NA18632,8,0
NA18633,12,1
NA18634,9.5,0
NA18635,8.5,0
NA18636,7.5,0
NA18637,11,1
NA18638,4.5,0
NA18639,9,0
NA18640,18.5,1
NA18641,9,0
NA18642,8.5,0
NA18643,9.5,0
NA18644,7.5,0
NA18645,8,0
NA18646,15.5,1
NA18647,8.5,0
NA18648,10.5,1
NA18740,9.5,0
NA18745,6,0
NA18747,9.5,0
NA18748,6.5,0
NA18749,10.5,1
NA18757,8,0
NA18853,6,0
NA18856,6,0
NA18858,7.5,0
NA18861,8,0
NA18864,4,0
NA18865,8,0
NA18867,4,0
NA18868,7.5,0
NA18870,6,0
NA18871,6,0
NA18873,9,0
NA18874,4.5,0
NA18876,9,0
NA18877,6,0
NA18878,8,0
NA18879,9,0
NA18881,4,0
NA18907,5,0
NA18908,6.5,0
NA18909,7.5,0
NA18910,6,0
NA18912,9.5,0
NA18915,12,1
NA18916,7.5,0
NA18917,3.5,0
NA18923,4,0
NA18924,9,0
NA18933,6,0
NA18934,17.5,1
NA18939,4,0
NA18940,10.5,1
NA18941,10,0
NA18942,8,0
NA18943,6,0
NA18944,8,0
NA18945,10,0
NA18946,7.5,0
NA18947,12,1
NA18948,12,1
NA18949,9,0
NA18950,11.5,1
NA18951,9.5,0
NA18952,5.5,0
NA18953,6.5,0
NA18954,5.5,0
NA18956,11,1
NA18957,9,0
NA18959,9,0
NA18960,8.5,0
NA18961,8.5,0
NA18962,5,0
NA18963,9.5,0
NA18964,9,0
NA18965,4,0
NA18966,12.5,1
NA18967,8.5,0
NA18968,6,0
NA18969,11.5,1
NA18970,6.5,0
NA18971,8,0
NA18972,11.5,1
NA18973,6,0
NA18974,8,0
NA18975,6.5,0
NA18976,6.5,0
NA18977,6.5,0
NA18978,7.5,0
NA18979,10.5,1
NA18980,6.5,0
NA18981,10.5,1
NA18982,5.5,0
NA18983,5.5,0
NA18984,9,0
NA18985,7.5,0
NA18986,9,0
NA18987,9.5,0
NA18988,8.5,0
NA18989,7.5,0
NA18990,6,0
NA18991,9.5,0
NA18992,15,1
NA18993,4,0
NA18994,11.5,1
NA18995,10.5,1
NA18997,10.5,1
NA18998,3.5,0
NA18999,4.5,0
NA19000,7.5,0
NA19001,6,0
NA19002,8,0
NA19003,5.5,0
NA19004,9,0
NA19005,7.5,0
NA19006,8,0
NA19007,6,0
NA19009,6.5,0
NA19010,9,0
NA19011,7.5,0
NA19012,4.5,0
NA19017,8,0
NA19019,8,0
NA19020,9,0
NA19023,8,0
NA19024,6.5,0
NA19025,11,1
NA19026,9,0
NA19027,8,0
NA19028,7.5,0
NA19030,6,0
NA19031,6,0
NA19035,9,0
NA19036,6,0
NA19037,11.5,1
NA19038,17,1
NA19041,11,1
NA19042,9.5,0
NA19043,7.5,0
NA19054,11.5,1
NA19055,9.5,0
NA19056,5,0
NA19057,8,0
NA19058,9.5,0
NA19059,7.5,0
NA19060,9,0
NA19062,11,1
NA19063,8,0
NA19064,6,0
NA19065,11.5,1
NA19066,9.5,0
NA19067,11,1
NA19068,10.5,1
NA19070,5,0
NA19072,6,0
NA19074,4.5,0
NA19075,6,0
NA19076,12,1
NA19077,11,1
NA19078,13,1
NA19079,6,0
NA19080,7.5,0
NA19081,8,0
NA19082,7.5,0
NA19083,6.5,0
NA19084,4,0
NA19085,12,1
NA19086,8,0
NA19087,6,0
NA19088,3.5,0
NA19089,11.5,1
NA19090,7.5,0
NA19091,5,0
NA19092,10.5,1
NA19093,5.5,0
NA19095,6,0
NA19096,9,0
NA19098,18,1
NA19099,13.5,1
NA19102,6,0
NA19107,9.5,0
NA19108,6,0
NA19113,4.5,0
NA19114,9,0
NA19116,12,1
NA19117,12.5,1
NA19118,6,0
NA19119,10.5,1
NA19121,9,0
NA19129,4,0
NA19130,7.5,0
NA19131,7.5,0
NA19137,8,0
NA19138,9,0
NA19141,12,1
NA19143,9,0
NA19144,6,0
NA19146,12,1
NA19147,11,1
NA19149,7.5,0
NA19152,8,0
NA19153,7.5,0
NA19159,3.5,0
NA19160,7.5,0
NA19171,6,0
NA19172,10.5,1
NA19175,7.5,0
NA19184,6,0
NA19185,10.5,1
NA19189,11.5,1
NA19190,7.5,0
NA19197,9,0
NA19198,12,1
NA19200,7.5,0
NA19201,6,0
NA19204,6,0
NA19206,10,0
NA19207,12,1
NA19209,9,0
NA19210,7,0
NA19213,7.5,0
NA19214,8,0
NA19222,5.5,0
NA19223,8.5,0
NA19225,11.5,1
NA19235,8,0
NA19236,8,0
NA19238,13,1
NA19239,9,0
NA19247,5.5,0
NA19248,10,0
NA19256,5.5,0
NA19257,6,0
NA19307,14.5,1
NA19308,14.5,1
NA19309,7.5,0
NA19310,10.5,1
NA19312,7.5,0
NA19314,10,0
NA19315,5,0
NA19316,15.5,1
NA19317,14.5,1
NA19318,8,0
NA19319,10,0
NA19320,11.5,1
NA19321,9,0
NA19323,9,0
NA19324,10.5,1
NA19327,10,0
NA19328,4,0
NA19331,7,0
NA19332,6,0
NA19334,5.5,0
NA19338,13,1
NA19346,12,1
NA19347,17.5,1
NA19350,9,0
NA19351,10.5,1
NA19355,14.5,1
NA19360,7.5,0
NA19372,9,0
NA19374,4.5,0
NA19375,11.5,1
NA19376,12,1
NA19377,10.5,1
NA19378,5.5,0
NA19379,8,0
NA19380,6.5,0
NA19383,9,0
NA19384,10.5,1
NA19385,12,1
NA19390,7,0
NA19391,9,0
NA19393,13,1
NA19394,7.5,0
NA19395,6.5,0
NA19397,9,0
NA19399,5.5,0
NA19401,7.5,0
NA19403,12,1
NA19404,5.5,0
NA19428,13,1
NA19429,7.5,0
NA19430,13,1
NA19431,10.5,1
NA19434,13,1
NA19435,9,0
NA19436,14.5,1
NA19437,18,1
NA19438,13,1
NA19439,12,1
NA19440,18.5,1
NA19443,7.5,0
NA19445,7.5,0
NA19446,11,1
NA19448,14.5,1
NA19449,5.5,0
NA19451,9,0
NA19452,8,0
NA19454,9,0
NA19455,7.5,0
NA19456,4,0
NA19457,5.5,0
NA19461,13,1
NA19462,9.5,0
NA19463,12.5,1
NA19466,7,0
NA19467,9,0
NA19468,10.5,1
NA19471,10.5,1
NA19472,8.5,0
NA19473,9,0
NA19474,5,0
NA19475,13,1
NA19625,8.5,0
NA19648,12.5,1
NA19649,12.5,1
NA19651,15,1
NA19652,5.5,0
NA19654,5.5,0
NA19655,9,0
NA19657,6.5,0
NA19658,4.5,0
NA19661,10.5,1
NA19663,8.5,0
NA19664,8,0
NA19669,12.5,1
NA19670,4.5,0
NA19676,19,1
NA19678,12.5,1
NA19679,7,0
NA19681,6,0
NA19682,12,1
NA19684,5,0
NA19700,6,0
NA19701,13.5,1
NA19703,10,0
NA19704,6,0
NA19707,5.5,0
NA19711,7.5,0
NA19712,7.5,0
NA19713,10.5,1
NA19716,7.5,0
NA19717,4,0
NA19719,11,1
NA19720,13,1
NA19722,4.5,0
NA19723,8,0
NA19725,9,0
NA19726,4,0
NA19728,11,1
NA19729,3.5,0
NA19731,6,0
NA19732,4,0
NA19734,3.5,0
NA19735,5,0
NA19740,6,0
NA19741,6,0
NA19746,7.5,0
NA19747,7.5,0
NA19749,13.5,1
NA19750,9.5,0
NA19752,7.5,0
NA19755,6.5,0
NA19756,5.5,0
NA19758,6.5,0
NA19759,8.5,0
NA19761,6,0
NA19762,5.5,0
NA19764,11.5,1
NA19770,6,0
NA19771,13,1
NA19773,4,0
NA19774,7,0
NA19776,8,0
NA19777,6,0
NA19779,12,1
NA19780,10,0
NA19782,5.5,0
NA19783,6.5,0
NA19785,13.5,1
NA19786,10.5,1
NA19788,3.5,0
NA19789,11,1
NA19792,13,1
NA19794,7,0
NA19795,19,1
NA19818,8,0
NA19819,6,0
NA19834,10.5,1
NA19835,5.5,0
NA19900,13.5,1
NA19901,14.5,1
NA19904,7,0
NA19908,12,1
NA19909,15.5,1
NA19913,5.5,0
NA19914,7.5,0
NA19916,4.5,0
NA19917,9.5,0
NA19920,8.5,0
NA19921,5.5,0
NA19922,6,0
NA19923,9.5,0
NA19982,8.5,0
NA19984,8,0
NA20126,12.5,1
NA20127,7.5,0
NA20274,11.5,1
NA20276,10.5,1
NA20278,6,0
NA20281,10.5,1
NA20282,7.5,0
NA20287,5.5,0
NA20289,7.5,0
NA20291,12.5,1
NA20294,5.5,0
NA20296,7,0
NA20298,12.5,1
NA20299,10.5,1
NA20314,6,0
NA20317,6.5,0
NA20318,10.5,1
NA20320,8.5,0
NA20321,8,0
NA20332,10.5,1
NA20334,15,1
NA20339,7.5,0
NA20340,9,0
NA20342,13,1
NA20346,12,1
NA20348,5.5,0
NA20351,4,0
NA20355,13,1
NA20356,7.5,0
NA20357,12,1
NA20359,8,0
NA20362,6,0
NA20412,12,1
NA20502,12.5,1
NA20503,12,1
NA20504,9.5,0
NA20505,9.5,0
NA20506,10.5,1
NA20507,14.5,1
NA20508,10.5,1
NA20509,17,1
NA20510,10.5,1
NA20511,6,0
NA20512,12.5,1
NA20513,7.5,0
NA20514,7.5,0
NA20515,12.5,1
NA20516,10.5,1
NA20517,10.5,1
NA20518,14.5,1
NA20519,6,0
NA20520,8.5,0
NA20521,8,0
NA20522,17.5,1
NA20524,9,0
NA20525,18.5,1
NA20527,13.5,1
NA20528,6,0
NA20529,12,1
NA20530,9.5,0
NA20531,9.5,0
NA20532,9,0
NA20533,12.5,1
NA20534,11,1
NA20535,5.5,0
NA20536,6,0
NA20538,10.5,1
NA20539,5,0
NA20540,12.5,1
NA20541,7.5,0
NA20542,10.5,1
NA20543,6,0
NA20544,12,1
NA20581,7.5,0
NA20582,12.5,1
NA20585,8.5,0
NA20586,10,0
NA20587,18,1
NA20588,10.5,1
NA20589,9,0
NA20752,12.5,1
NA20753,7.5,0
NA20754,9,0
NA20755,18.5,1
NA20756,8.5,0
NA20757,13.5,1
NA20758,5.5,0
NA20759,7,0
NA20760,9.5,0
NA20761,10.5,1
NA20762,11.5,1
NA20763,12,1
NA20764,9,0
NA20765,11.5,1
NA20766,12,1
NA20767,10,0
NA20768,5,0
NA20769,8,0
NA20770,5.5,0
NA20771,10,0
NA20772,12.5,1
NA20773,11,1
NA20774,12.5,1
NA20775,11.5,1
NA20778,11,1
NA20783,13.5,1
NA20785,13,1
NA20786,17.5,1
NA20787,5.5,0
NA20790,12.5,1
NA20792,12.5,1
NA20795,7,0
NA20796,11,1
NA20797,8.5,0
NA20798,15,1
NA20799,5.5,0
NA20800,10.5,1
NA20801,13,1
NA20802,7.5,0
NA20803,15.5,1
NA20804,13,1
NA20805,11.5,1
NA20806,11.5,1
NA20807,11.5,1
NA20808,7.5,0
NA20809,13.5,1
NA20810,13,1
NA20811,19,1
NA20812,10.5,1
NA20813,14.5,1
NA20814,12,1
NA20815,9.5,0
NA20818,8,0
NA20819,8.5,0
NA20821,8.5,0
NA20822,10.5,1
NA20826,13,1
NA20827,8,0
NA20828,15,1
NA20832,12.5,1
NA20845,10,0
NA20846,5.5,0
NA20847,10.5,1
NA20849,7.5,0
NA20850,9,0
NA20851,12.5,1
NA20852,7.5,0
NA20853,8.5,0
NA20854,6,0
NA20856,7.5,0
NA20858,12,1
NA20859,10.5,1
NA20861,9.5,0
NA20862,12.5,1
NA20863,10.5,1
NA20864,12,1
NA20866,9.5,0
NA20867,9,0
NA20868,11,1
NA20869,9.5,0
NA20870,9,0
NA20872,9,0
NA20874,10,0
NA20875,9,0
NA20876,13.5,1
NA20877,6.5,0
NA20878,7.5,0
NA20881,8,0
NA20882,9,0
NA20884,11,1
NA20885,6.5,0
NA20886,7,0
NA20887,12,1
NA20888,9,0
NA20889,13,1
NA20890,9.5,0
NA20891,12.5,1
NA20892,8.5,0
NA20894,17,1
NA20895,12,1
NA20896,11,1
NA20897,9,0
NA20899,10.5,1
NA20900,10,0
NA20901,10,0
NA20902,9,0
NA20903,12,1
NA20904,11,1
NA20905,10.5,1
NA20906,9,0
NA20908,7.5,0
NA20910,10,0
NA20911,5.5,0
NA21086,9,0
NA21087,12.5,1
NA21088,5,0
NA21089,7.5,0
NA21090,17.5,1
NA21091,8.5,0
NA21092,6.5,0
NA21093,7.5,0
NA21094,11,1
NA21095,12,1
NA21097,10,0
NA21098,6,0
NA21099,5,0
NA21100,12,1
NA21101,7,0
NA21102,8,0
NA21103,9.5,0
NA21104,14.5,1
NA21105,6.5,0
NA21106,7.5,0
NA21107,7.5,0
NA21108,9.5,0
NA21109,12.5,1
NA21110,6,0
NA21111,10,0
NA21112,9,0
NA21113,13,1
NA21114,9,0
NA21115,12.5,1
NA21116,7.5,0
NA21117,9,0
NA21118,12,1
NA21119,15,1
NA21120,8.5,0
NA21122,12,1
NA21123,6,0
NA21124,9.5,0
NA21125,10.5,1
NA21126,7.5,0
NA21127,9,0
NA21128,5.5,0
NA21129,15,1
NA21130,10,0
NA21133,9,0
NA21135,13,1
NA21137,6,0
NA21141,5,0
NA21142,8.5,0
NA21143,9,0
NA21144,7.5,0
